ID #,Gender,Age,Years Edu,Practice Total Time,Practice Trials to Criterion,Session #,VR Schedule,Initial Selection,Trial #,# Responses Required in this Trial,Response #,Response (Correct = 1 or Incorrect = 0),Pre-ratio Pausing (seconds),Inter-Trial Interval,Total Time Elapsed,Rate per Response (End of Trial),% Correct Responses (End of Trial),Did participant switch to Option 2?,Did participant cash out?,Cash Earned
110,f,30,20,2.74,1,1,  V200,1,1,5,1,1,1.17,  ,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,1,1,5,2,1,  ,0.45,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,1,1,5,3,1,  ,0.49,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,1,1,5,4,1,  ,0.43,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,1,1,5,5,1,  ,0.52,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,1,1,5,  ,  ,  ,  ,3.05,1.64,100,  NO,  NO,$1.00 
110,f,30,20,2.74,1,1,  V200,  ,2,135,1,1,1.06,  ,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,2,1,  ,0.42,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,3,1,  ,0.41,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,4,1,  ,0.44,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,5,1,  ,0.44,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,6,1,  ,0.4,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,7,1,  ,0.42,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,8,1,  ,0.48,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,9,1,  ,0.44,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,10,1,  ,0.71,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,11,1,  ,0.49,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,12,1,  ,0.59,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,13,1,  ,0.45,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,14,1,  ,0.44,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,15,1,  ,0.42,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,16,1,  ,0.43,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,17,1,  ,0.43,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,18,1,  ,0.55,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,19,1,  ,0.43,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,20,1,  ,0.53,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,21,1,  ,0.48,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,22,1,  ,0.41,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,23,1,  ,0.49,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,24,1,  ,0.48,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,25,1,  ,0.45,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,26,1,  ,0.49,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,27,1,  ,0.48,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,28,1,  ,0.47,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,29,1,  ,0.41,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,30,1,  ,0.39,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,31,1,  ,0.54,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,32,1,  ,0.4,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,33,1,  ,0.53,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,34,1,  ,0.48,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,35,0,  ,0.42,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,36,0,  ,0.21,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,37,1,  ,0.83,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,38,1,  ,0.42,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,39,1,  ,0.48,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,40,1,  ,0.44,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,41,1,  ,0.49,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,42,1,  ,0.43,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,43,0,  ,0.41,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,44,1,  ,0.6,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,45,1,  ,0.74,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,46,1,  ,0.54,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,47,1,  ,0.59,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,48,1,  ,0.45,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,49,1,  ,0.7,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,50,1,  ,0.44,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,51,1,  ,0.52,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,52,1,  ,0.4,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,53,1,  ,0.57,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,54,1,  ,0.5,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,55,1,  ,0.58,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,56,1,  ,0.46,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,57,1,  ,0.46,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,58,1,  ,0.37,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,59,1,  ,0.52,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,60,1,  ,0.41,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,61,0,  ,0.41,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,62,0,  ,0.26,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,63,1,  ,0.59,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,64,1,  ,0.51,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,65,1,  ,0.49,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,66,1,  ,0.44,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,67,1,  ,0.47,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,68,1,  ,0.49,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,69,1,  ,0.79,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,70,1,  ,0.58,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,71,0,  ,0.47,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,72,1,  ,0.57,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,73,1,  ,0.52,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,74,1,  ,0.41,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,75,1,  ,0.45,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,76,1,  ,0.47,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,77,1,  ,0.4,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,78,1,  ,0.42,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,79,1,  ,0.75,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,80,1,  ,0.41,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,81,1,  ,0.49,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,82,1,  ,0.45,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,83,0,  ,0.38,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,84,0,  ,0.25,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,85,1,  ,0.63,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,86,1,  ,0.76,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,87,1,  ,0.42,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,88,1,  ,0.46,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,89,1,  ,0.48,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,90,1,  ,0.44,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,91,1,  ,0.42,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,92,1,  ,0.33,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,93,1,  ,0.36,  ,  ,  ,  ,  ,  
110,f,30,20,2.74,1,1,  V200,  ,2,135,94,1,  ,0.45,  ,  ,  ,  ,  ,  
